id,artifact_id,group_id,version,signature,method
Polaris+polaris,Polaris,polaris,1.0-alpha,Landroid/content/pm/PackageManager;->getPackageInfo,[Lproximity/deviceinformation/model/HostInfo; <init> (Landroid/content/Context;)V]
Polaris+polaris,Polaris,polaris,1.1-alpha,Landroid/content/pm/PackageManager;->getPackageInfo,[Lproximity/deviceinformation/model/HostInfo; <init> (Landroid/content/Context;)V]
TarsysAndroidSupport+support,TarsysAndroidSupport,support,1.0.0.1,Landroid/content/pm/PackageManager;->getPackageInfo,[Lcom/github/tarsys/android/support/utilities/AndroidSupport; isAppInExternalMemory (Landroid/content/Context;)Z]
adfactory.me+adfactory_android,adfactory.me,adfactory_android,1.0,Landroid/content/pm/PackageManager;->getApplicationInfo,[Ladfactory/player/android/Utils/Utils; getApiKey (Landroid/content/Context;)Ljava/lang/String;]
adfactory.me+adfactory_android,adfactory.me,adfactory_android,1.0.1,Landroid/content/pm/PackageManager;->getApplicationInfo,[Ladfactory/player/android/Utils/Utils; getApiKey (Landroid/content/Context;)Ljava/lang/String;]
adfactory.me+adfactory_android,adfactory.me,adfactory_android,1.1.3,Landroid/content/pm/PackageManager;->getApplicationInfo,[Ladfactory/player/android/Utils/Utils; getApiKey (Landroid/content/Context;)Ljava/lang/String;]
adfactory.me+adfactory_android,adfactory.me,adfactory_android,1.1.4,Landroid/content/pm/PackageManager;->getApplicationInfo,[Ladfactory/player/android/Utils/Utils; getApiKey (Landroid/content/Context;)Ljava/lang/String;]
ai.benshi.android.sdk+core,ai.benshi.android.sdk,core,1.0.0-alpha17.1,Landroid/content/pm/PackageManager;->getApplicationInfo,"[Lai/benshi/android/sdk/core/BenshiSetup; verifyAccessToken (Landroid/content/Context;)Ljava/lang/String;, Lai/benshi/android/sdk/core/nudge/workers/BackendNotificationWorker; sendNotification (I Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)V]"
ai.benshi.android.sdk+core,ai.benshi.android.sdk,core,1.0.0-alpha18.1,Landroid/content/pm/PackageManager;->getApplicationInfo,"[Lai/benshi/android/sdk/core/BenshiSetup; verifyAccessToken (Landroid/content/Context;)Ljava/lang/String;, Lai/benshi/android/sdk/core/nudge/workers/BackendNotificationWorker; sendNotification (I Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)V]"
ai.benshi.android.sdk+core,ai.benshi.android.sdk,core,1.0.0-beta02,Landroid/content/pm/PackageManager;->getApplicationInfo,"[Lai/benshi/android/sdk/core/nudge/workers/BackendNotificationWorker; sendNotification (I Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)V, Lai/benshi/android/sdk/core/BenshiSetup; verifyAccessToken (Landroid/content/Context;)Ljava/lang/String;]"
ai.benshi.android.sdk+core,ai.benshi.android.sdk,core,1.0.0-beta03,Landroid/content/pm/PackageManager;->getApplicationInfo,"[Lai/benshi/android/sdk/core/BenshiSetup; verifyAccessToken (Landroid/content/Context;)Ljava/lang/String;, Lai/benshi/android/sdk/core/nudge/workers/BackendNotificationWorker; sendNotification (I Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)V]"
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.0,Landroid/content/pm/PackageManager;->getInstalledPackages,[Lai/botbrain/ttcloud/sdk/presenter/AppsListPresenter; getInstallApkInfo ()Ljava/util/ArrayList;]
